,ID,ID collecteur,Date de début,Date de fin,Q1,Q3,Q4,Q4-text,Q5,Q5-text,Q6,Q6-text,Q7,Q8,Q9,Q10,Q11,Q12
75,6184027608,156443487,2017-05-05 18:00:26,2017-05-05 18:02:47,Oui,Macron,Autre (veuillez préciser),Marcon,Autre (veuillez préciser),Macron,Emmanuel Macron,,,,,,,
76,6184026127,156443487,2017-05-05 18:00:41,2017-05-05 18:03:20,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Les sondages ne sont pas sur. Exemples des etats unis. ,Non,Ils se fient tous au sondages,Oui,"La candidate du FN sera capable de remonter le pays, economiquement parlant"
77,6184025101,156443487,2017-05-05 17:59:39,2017-05-05 18:08:02,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Parce que marine le Pen ce que elle a dit est vrai.  Car macron ne veux pas fermé les frontières et à pas de projet pour l immigration donc marine le Pen est plus convaincante et plus sérieuse pour la France et notre avenir c est marine le Pen,Oui,Car ils veulent plus avoir un président comme les deux premiers qui dise et ki font rien du tout ,Oui,Oui car marine le Pen et déjà présidente du front national et elle a changé deja des chose et la France elle peut la changer et elle peut faire moins de chômage pour la France donne plus de boulot et pour les personnes âgés elle va augmenter leurs retraite
78,6184021951,156443487,2017-05-05 17:58:12,2017-05-05 18:00:35,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Oui,,Oui,
79,6184019431,156443487,2017-05-05 17:56:33,2017-05-05 17:58:07,Non,,Non,,Autre (veuillez préciser),Je ne vais pas voter car je ne suis pas française mais si j'aurai voter sa serait pour marine ,Marine Le Pen,,,,,,,
80,6184016364,156443487,2017-05-05 17:47:22,2017-05-05 18:01:49,Oui,Melenchon,Oui,,Je ne sais pas,,Emmanuel Macron,,Le Pen,"Je pense que mme lepen va gagner les ei car les français ont très peur de l'immigration et plus particulièrement des musulmans et des personnes colorées. C'est mon avis et c'est du vecu, j'ai rencontré a plusieurs reprises des fachistes. Ils ont leurs idée certe mais si mme lepen est elue nous serons définitivement un pays non démocrate meme si actuellement nous sommes deja en oligarchie, l'Europe protègent les citoyens du monde.  ",Non,Je ne sais pas,Oui,Je ne sais pas
81,6184012654,156443487,2017-05-05 17:53:22,2017-05-05 17:56:40,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Seule Marine Lepen peut sauver la France.,Oui,Ils comprennent les besoins fondamentaux de la France.,Oui,"C'est le meilleur choix, elle peut sincèrement remettre la France en ordre."
82,6184006974,156443487,2017-05-05 17:50:04,2017-05-05 17:54:08,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Oui,Parce que macron c'est le meilleur,Oui,Oui au moin macron il accepte tout le monde
83,6184003799,156443487,2017-05-05 17:46:17,2017-05-05 17:49:52,Non,Le Pen,Autre (veuillez préciser),Pas inscri jai voulu on ma di yer trop taro,Très sûr,,Marine Le Pen,,,,,,,
84,6183993641,156443487,2017-05-05 17:43:22,2017-05-05 17:49:11,Oui,Le Pen,Oui,,Très sûr,,Marine Le Pen,,Le Pen,Je pense que Marine Le Pen va remporter l'élection présidentielle de 2017 car elle n'a pas menti au français et que pour moi c'est elle qui a le meilleur programme ,Oui,Ils sont d'accord avec moi car Marine le Pen on l'a connais depuis un moment et qu'elle se fou pas de la geul des français ,Oui,Car Marine Le Pen on l'a connais depuis des années et que sont programmes et toute à fait bien et c'est la seul qui pourrait sortir la France de la merde. Macron et un insposteur on le connaît pas il sort de nul par et il pète plus haut que son cul redescend tu n'es personne et tu n'est pas à la hauteur de sortir la France de la merde 
85,6183993514,156443487,2017-05-05 17:42:57,2017-05-05 17:44:30,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,,Oui,,Oui,
86,6183981891,156443487,2017-05-05 17:35:59,2017-05-05 17:43:12,Oui,Melenchon,Oui,,Je ne sais pas,,Blanc,Les deux ne vaut rien,Macron,Macron car les électeurs von vouloir faire barrage au frond national même si je pense qu'il ne mérite pas ca place.,Non,Non car J'ai des amis qui vote le pen et dautre macron et dautre blanc ,Non,Macron est trop dans la répression. Baisse salaire chomage régressif .... et je ne souhaite me soumettre totalement a l'union européenne 
87,6183981772,156443487,2017-05-05 17:36:59,2017-05-05 17:38:32,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,Macros car avc Le Pen ce serait comme foncer droit dans un mur! surtout pour nous les jeunes,Oui,Car c'est la même guerre pour tout le monde je pense!,Oui,Oui car il a des projets réalisables et qui serait très bénéfiques pour la france 
88,6183975637,156443487,2017-05-05 17:33:09,2017-05-05 17:35:39,Oui,Asselineau,Oui,,Très sûr,,Marine Le Pen,,Le Pen,,Non,Pas le Pen soit disant que sa va être pire,Oui,
89,6183971488,156443487,2017-05-05 17:30:17,2017-05-05 17:35:55,Oui,Melenchon,Oui,,Pas sûr,,Blanc,Je me sens pas représenté par aucun des deux candidats ,Macron,Tout les sondages le disent et les nombreux appels des candidats perdant ainsi que les pétitions et appels de plus en plus des gens à voter contre le fn  ,Oui,La plupart de mes amies ont voter en faveur de Melenchon ils sont comme moi en train de se demander pour qui voter ou voter blanc ,Oui,"Parce que Melenchon est en faveur du peuple, et regroupe et non ne divise, il est pas en faveur des plus riches, et des entreprises. "
90,6183960042,156443487,2017-05-05 17:22:54,2017-05-05 17:24:42,Non,Macron,Non,,Pas sûr,,Emmanuel Macron,,,,,,,
91,6183959802,156443487,2017-05-05 17:23:24,2017-05-05 17:27:48,Oui,Macron,Oui,,Très sûr,,Emmanuel Macron,,Macron,Macron ressemble à Hollande et Lui il présente un projet que Marine le Pen non alors je sais très bien qui vote,Oui,Il sont pour Emmanuel Macron car il est jeune,Oui,C'est le meilleur
92,6183958022,156443487,2017-05-05 17:22:13,2017-05-05 17:24:35,Oui,Melenchon,Oui,,Très sûr,,Emmanuel Macron,,Macron,Car c est celui qui représente au miu le titre de président ,Oui,,Oui,
